measurement_id,product_id,factory_id,production_volume_units,defect_rate_ppm,total_water_footprint,total_carbon_footprint,waste_percentage,timestamp
FR_MSR_000029,FR_PRD_00493,FAC_FR_007,2788,97,1162596.0,3487.79,3.56,2023-09-23
FR_MSR_000030,FR_PRD_00995,FAC_FR_004,4406,125,2022354.0,6067.06,1.44,2024-02-13
FR_MSR_000031,FR_PRD_00937,FAC_FR_007,9501,32,872191.8,33434.02,4.89,2024-01-09
FR_MSR_000032,FR_PRD_00579,FAC_FR_013,7430,75,2396175.0,7188.52,3.82,2023-11-23
FR_MSR_000033,FR_PRD_00863,FAC_FR_011,7777,103,657934.2,25220.81,2.5,2023-07-08
FR_MSR_000034,FR_PRD_00936,FAC_FR_017,5420,11,186014.4,15811.22,2.59,2024-03-22
FR_MSR_000035,FR_PRD_00388,FAC_FR_004,6092,44,145720.64,12386.25,1.09,2024-05-31
FR_MSR_000036,FR_PRD_00065,FAC_FR_020,4117,122,70812.4,5098.49,4.54,2023-06-10
FR_MSR_000037,FR_PRD_00222,FAC_FR_007,443297,99,12713757.96,900557.86,2.15,2024-11-01
FR_MSR_000038,FR_PRD_00491,FAC_FR_003,2769,102,76202.88,6477.24,4.0,2023-03-16
FR_MSR_000039,FR_PRD_00171,FAC_FR_015,119607,147,2822725.2,239931.64,4.59,2023-05-10
FR_MSR_000040,FR_PRD_00360,FAC_FR_020,3629,91,2090304.0,6270.91,1.41,2023-11-15
FR_MSR_000041,FR_PRD_00294,FAC_FR_015,103402,74,17991948.0,674698.05,1.67,2023-05-12
FR_MSR_000042,FR_PRD_00736,FAC_FR_013,7121,103,1344444.8,50416.68,1.74,2024-07-04
FR_MSR_000043,FR_PRD_00055,FAC_FR_010,9657,119,194105.7,13975.61,4.19,2023-01-22
FR_MSR_000044,FR_PRD_00986,FAC_FR_012,6391,42,3211477.5,9634.43,2.78,2023-03-24
FR_MSR_000045,FR_PRD_00761,FAC_FR_014,5315,134,126922.2,8990.32,4.37,2024-10-10
FR_MSR_000046,FR_PRD_00102,FAC_FR_005,3890,119,332595.0,12749.47,2.7,2023-02-20
FR_MSR_000047,FR_PRD_00874,FAC_FR_018,414797,84,171725958.0,515177.87,3.49,2024-06-28
FR_MSR_000048,FR_PRD_00035,FAC_FR_020,7037,100,992217.0,38034.98,4.91,2023-03-30
FR_MSR_000049,FR_PRD_00961,FAC_FR_019,211529,51,52353427.5,157060.28,3.87,2023-04-12
FR_MSR_000050,FR_PRD_00125,FAC_FR_014,5112,53,87926.4,7473.74,2.07,2024-11-11
FR_MSR_000051,FR_PRD_00170,FAC_FR_004,7683,149,152891.7,11008.2,3.54,2023-07-02
FR_MSR_000052,FR_PRD_00364,FAC_FR_007,251126,129,131464461.0,394393.38,1.47,2024-05-16
FR_MSR_000053,FR_PRD_00225,FAC_FR_016,2315,25,379660.0,14237.25,2.52,2024-10-04
FR_MSR_000054,FR_PRD_00543,FAC_FR_013,159456,32,3750405.12,318784.44,3.54,2024-06-27
FR_MSR_000055,FR_PRD_00547,FAC_FR_010,3104,68,56244.48,3983.98,1.32,2023-12-18
FR_MSR_000056,FR_PRD_00907,FAC_FR_005,4236,51,66081.6,4680.78,4.99,2023-09-25
FR_MSR_000057,FR_PRD_00749,FAC_FR_010,7181,124,2466673.5,7400.02,4.35,2024-12-04
FR_MSR_000058,FR_PRD_00636,FAC_FR_006,4973,70,2939043.0,8817.13,1.29,2024-12-05
FR_MSR_000059,FR_PRD_00762,FAC_FR_012,3659,116,1646550.0,4939.65,3.29,2023-11-13
FR_MSR_000060,FR_PRD_00003,FAC_FR_014,235725,54,81325125.0,243975.38,4.29,2023-07-18
FR_MSR_000061,FR_PRD_00238,FAC_FR_020,6177,35,723944.4,27147.91,1.26,2024-04-21
FR_MSR_000062,FR_PRD_00149,FAC_FR_017,9119,136,4267692.0,12803.08,1.23,2024-07-25
FR_MSR_000063,FR_PRD_00386,FAC_FR_006,8444,135,243187.2,17225.76,2.15,2024-08-21
FR_MSR_000064,FR_PRD_00266,FAC_FR_020,54705,129,1263685.5,90985.36,4.4,2024-06-28
FR_MSR_000065,FR_PRD_00436,FAC_FR_018,9960,78,329875.2,28039.39,4.69,2023-08-05
FR_MSR_000066,FR_PRD_00373,FAC_FR_011,405681,138,126572472.0,379717.42,3.96,2024-09-20
FR_MSR_000067,FR_PRD_00580,FAC_FR_018,3251,114,1355667.0,4067.0,4.97,2024-06-30
FR_MSR_000068,FR_PRD_00251,FAC_FR_002,6978,140,174729.12,14851.98,1.86,2024-12-23
FR_MSR_000069,FR_PRD_00703,FAC_FR_009,148779,145,4130105.04,351058.93,4.42,2024-02-03
FR_MSR_000070,FR_PRD_00496,FAC_FR_019,9493,61,283271.12,24078.05,2.36,2023-03-06
FR_MSR_000071,FR_PRD_00745,FAC_FR_017,6783,29,183141.0,12972.49,1.05,2024-05-04
FR_MSR_000072,FR_PRD_00131,FAC_FR_002,224454,66,6437340.72,455978.3,2.4,2023-12-18
FR_MSR_000073,FR_PRD_00034,FAC_FR_017,306881,27,8580392.76,607777.82,2.76,2024-03-03
FR_MSR_000074,FR_PRD_00037,FAC_FR_006,4023,60,133241.76,11325.55,3.75,2024-05-29
FR_MSR_000075,FR_PRD_00295,FAC_FR_013,8334,107,4087827.0,12263.48,1.83,2024-07-29
FR_MSR_000076,FR_PRD_00530,FAC_FR_005,208251,128,87465420.0,262396.26,4.35,2023-04-15
FR_MSR_000077,FR_PRD_00597,FAC_FR_020,5113,63,1280806.5,3842.42,2.79,2024-12-06
FR_MSR_000078,FR_PRD_00586,FAC_FR_011,173083,120,81781717.5,245345.15,3.3,2024-07-19
FR_MSR_000079,FR_PRD_00965,FAC_FR_006,87696,44,46698120.0,140094.36,2.28,2024-04-21
FR_MSR_000080,FR_PRD_00476,FAC_FR_016,206166,66,4494418.8,323598.15,4.41,2023-07-29
FR_MSR_000081,FR_PRD_00392,FAC_FR_008,2420,98,1317690.0,3953.07,2.27,2024-07-31
FR_MSR_000082,FR_PRD_00806,FAC_FR_001,436821,64,5661200.16,401001.68,1.01,2023-04-15
FR_MSR_000083,FR_PRD_00889,FAC_FR_017,8508,124,3726504.0,11179.51,2.72,2023-12-03
FR_MSR_000084,FR_PRD_00813,FAC_FR_018,2094,144,970569.0,2911.71,3.47,2023-05-11
FR_MSR_000085,FR_PRD_00904,FAC_FR_001,236547,63,5733899.28,406151.2,1.47,2023-09-12
FR_MSR_000086,FR_PRD_00762,FAC_FR_004,5893,14,2651850.0,7955.55,4.56,2023-08-02
FR_MSR_000087,FR_PRD_00631,FAC_FR_017,9119,101,128030.76,9068.85,2.49,2024-09-07
FR_MSR_000088,FR_PRD_00876,FAC_FR_002,9707,101,181520.9,13069.5,4.21,2024-09-07
FR_MSR_000089,FR_PRD_00221,FAC_FR_005,348690,97,10739652.0,912870.42,2.95,2024-03-16
FR_MSR_000090,FR_PRD_00310,FAC_FR_012,4779,147,1835136.0,5505.41,2.38,2024-09-13
FR_MSR_000091,FR_PRD_00752,FAC_FR_019,8500,26,1229100.0,47115.5,1.43,2023-12-11
FR_MSR_000092,FR_PRD_00226,FAC_FR_016,8972,140,2435898.0,7307.69,2.97,2023-02-05
FR_MSR_000093,FR_PRD_00380,FAC_FR_008,137570,49,3499780.8,297481.37,2.18,2023-06-10
FR_MSR_000094,FR_PRD_00390,FAC_FR_007,8749,20,174280.08,14813.81,3.29,2023-01-27
FR_MSR_000095,FR_PRD_00610,FAC_FR_001,8601,102,2283565.5,6850.7,2.26,2023-09-16
FR_MSR_000096,FR_PRD_00346,FAC_FR_020,5397,15,129528.0,9174.9,2.06,2023-04-25
FR_MSR_000097,FR_PRD_00267,FAC_FR_020,391546,131,7008673.4,504624.48,3.62,2024-02-20
FR_MSR_000098,FR_PRD_00197,FAC_FR_016,9982,10,226391.76,16036.08,1.54,2024-03-03
FR_MSR_000099,FR_PRD_00798,FAC_FR_017,8625,66,215280.0,18298.8,3.34,2023-12-23
FR_MSR_000100,FR_PRD_00735,FAC_FR_015,9267,75,216477.12,18400.56,1.36,2023-08-05
FR_MSR_000101,FR_PRD_00339,FAC_FR_003,6835,88,2296560.0,6889.68,3.25,2024-06-21
FR_MSR_000102,FR_PRD_00191,FAC_FR_007,2514,90,459559.2,17233.47,4.55,2024-09-29
FR_MSR_000103,FR_PRD_00406,FAC_FR_005,325789,93,5375518.5,387037.33,1.05,2024-07-25
FR_MSR_000104,FR_PRD_00829,FAC_FR_004,445852,20,100316700.0,300950.1,1.38,2024-07-29
FR_MSR_000105,FR_PRD_00465,FAC_FR_005,374464,142,8200761.6,590454.84,1.03,2023-07-11
FR_MSR_000106,FR_PRD_00686,FAC_FR_009,5973,109,206904.72,17586.9,1.74,2024-05-29
FR_MSR_000107,FR_PRD_00697,FAC_FR_001,349955,21,10694624.8,909043.11,2.53,2024-04-23
FR_MSR_000108,FR_PRD_00697,FAC_FR_012,349785,83,10689429.6,908601.52,1.37,2024-05-07
FR_MSR_000109,FR_PRD_00237,FAC_FR_007,3639,43,1075324.5,3225.97,3.05,2023-01-05
FR_MSR_000110,FR_PRD_00181,FAC_FR_014,7207,87,150482.16,12790.98,1.98,2024-03-01
FR_MSR_000111,FR_PRD_00016,FAC_FR_005,85496,66,36934272.0,110802.82,4.17,2024-10-28
FR_MSR_000112,FR_PRD_00504,FAC_FR_017,494224,19,15854705.92,1347650.0,4.6,2024-11-21
FR_MSR_000113,FR_PRD_00939,FAC_FR_001,2695,109,1164240.0,3492.72,4.77,2023-02-20
FR_MSR_000114,FR_PRD_00551,FAC_FR_008,476660,41,9838262.4,696876.92,4.96,2023-05-14
FR_MSR_000115,FR_PRD_00845,FAC_FR_004,239706,17,4142119.68,352080.17,1.44,2024-03-29
FR_MSR_000116,FR_PRD_00728,FAC_FR_018,429981,13,11523490.8,979496.72,2.4,2024-12-03
FR_MSR_000117,FR_PRD_00433,FAC_FR_014,6413,109,107738.4,9157.76,3.64,2023-01-24
FR_MSR_000118,FR_PRD_00344,FAC_FR_019,8007,91,251740.08,21397.91,4.6,2024-05-27
FR_MSR_000119,FR_PRD_00077,FAC_FR_016,376277,89,171017896.5,513053.69,3.11,2024-03-15
FR_MSR_000120,FR_PRD_00102,FAC_FR_003,3225,102,275737.5,10569.94,2.5,2023-10-19
FR_MSR_000121,FR_PRD_00990,FAC_FR_020,8767,114,307195.68,26111.63,2.37,2024-01-22
FR_MSR_000122,FR_PRD_00695,FAC_FR_017,6392,147,129629.76,9182.11,2.67,2023-07-12
FR_MSR_000123,FR_PRD_00730,FAC_FR_011,9025,118,174002.0,14790.17,3.46,2023-11-02
FR_MSR_000124,FR_PRD_00378,FAC_FR_007,2728,16,398288.0,14935.8,1.35,2023-10-20
FR_MSR_000125,FR_PRD_00370,FAC_FR_015,6133,77,177611.68,15096.99,3.78,2023-01-12
FR_MSR_000126,FR_PRD_00922,FAC_FR_014,147102,77,3765811.2,320093.95,4.02,2024-02-19
FR_MSR_000127,FR_PRD_00029,FAC_FR_014,473574,77,65353212.0,2450745.45,1.94,2023-04-14
FR_MSR_000128,FR_PRD_00565,FAC_FR_007,4875,132,2179125.0,6537.38,4.27,2024-09-10
FR_MSR_000129,FR_PRD_00397,FAC_FR_005,303910,135,138127095.0,414381.28,1.05,2024-08-17
FR_MSR_000130,FR_PRD_00735,FAC_FR_017,6375,22,148920.0,12658.2,3.84,2023-01-14
FR_MSR_000131,FR_PRD_00648,FAC_FR_017,392702,97,4673153.8,336467.07,4.67,2023-02-14
FR_MSR_000132,FR_PRD_00884,FAC_FR_003,71585,59,1574870.0,113390.64,4.42,2023-04-11
FR_MSR_000133,FR_PRD_00797,FAC_FR_007,4562,10,2442951.0,7328.85,1.66,2023-06-07
FR_MSR_000134,FR_PRD_00807,FAC_FR_017,70106,143,1535321.4,110543.14,3.89,2024-10-27
FR_MSR_000135,FR_PRD_00749,FAC_FR_008,7481,109,2569723.5,7709.17,3.4,2024-08-18
FR_MSR_000136,FR_PRD_00055,FAC_FR_011,7451,86,149765.1,10783.09,4.54,2023-01-19
FR_MSR_000137,FR_PRD_00698,FAC_FR_005,4534,116,78347.52,6659.54,3.36,2023-04-20
FR_MSR_000138,FR_PRD_00327,FAC_FR_018,2686,136,53182.8,3829.16,2.26,2023-05-22
FR_MSR_000139,FR_PRD_00392,FAC_FR_007,9339,75,5085085.5,15255.26,4.52,2024-03-12
FR_MSR_000140,FR_PRD_00040,FAC_FR_002,80339,56,1671051.2,142039.35,2.13,2024-10-04
FR_MSR_000141,FR_PRD_00311,FAC_FR_010,328337,85,9377304.72,797070.9,2.94,2024-04-29
FR_MSR_000142,FR_PRD_00871,FAC_FR_019,3569,58,106213.44,7523.45,4.77,2023-06-25
FR_MSR_000143,FR_PRD_00231,FAC_FR_012,6240,119,1647360.0,4942.08,4.12,2024-11-15
FR_MSR_000144,FR_PRD_00571,FAC_FR_012,5944,58,121733.12,10347.32,3.53,2023-07-31
FR_MSR_000145,FR_PRD_00507,FAC_FR_016,4262,37,79273.2,5615.18,3.52,2024-10-16
FR_MSR_000146,FR_PRD_00929,FAC_FR_017,8538,139,199789.2,14151.74,2.34,2023-01-07
FR_MSR_000147,FR_PRD_00743,FAC_FR_004,218558,89,5175453.44,439913.54,1.84,2023-12-20
FR_MSR_000148,FR_PRD_00473,FAC_FR_008,8173,139,3003577.5,9010.73,4.03,2023-02-05
FR_MSR_000149,FR_PRD_00041,FAC_FR_009,7861,44,3596407.5,10789.22,4.27,2023-04-07
FR_MSR_000150,FR_PRD_00998,FAC_FR_019,3684,19,2155140.0,6465.42,1.77,2024-09-05
FR_MSR_000151,FR_PRD_00388,FAC_FR_005,6569,91,157130.48,13356.09,1.57,2023-10-28
FR_MSR_000152,FR_PRD_00466,FAC_FR_004,7610,42,234388.0,19922.98,4.89,2024-05-17
FR_MSR_000153,FR_PRD_00243,FAC_FR_003,8372,35,3943212.0,11829.64,2.65,2023-12-18
FR_MSR_000154,FR_PRD_00695,FAC_FR_003,6151,120,124742.28,8835.91,4.37,2023-11-26
FR_MSR_000155,FR_PRD_00302,FAC_FR_019,3684,82,516128.4,19784.92,4.41,2024-04-22
FR_MSR_000156,FR_PRD_00265,FAC_FR_004,77065,71,10573318.0,396499.43,1.65,2023-03-24
FR_MSR_000157,FR_PRD_00521,FAC_FR_012,176514,21,2241727.8,161404.4,1.29,2024-04-05
FR_MSR_000158,FR_PRD_00327,FAC_FR_005,4098,38,81140.4,5842.11,4.56,2024-05-09
FR_MSR_000159,FR_PRD_00050,FAC_FR_010,6982,86,710069.4,27219.33,4.33,2024-04-04
FR_MSR_000160,FR_PRD_00804,FAC_FR_011,9142,108,227452.96,19333.5,1.89,2024-01-23
FR_MSR_000161,FR_PRD_00353,FAC_FR_010,8638,74,229425.28,19501.15,1.62,2024-02-09
FR_MSR_000162,FR_PRD_00091,FAC_FR_005,360947,61,5861779.28,498251.24,3.15,2023-11-05
FR_MSR_000163,FR_PRD_00638,FAC_FR_001,6885,64,743580.0,28503.9,4.33,2023-05-10
FR_MSR_000164,FR_PRD_00905,FAC_FR_012,9998,135,2309538.0,6928.61,3.05,2023-05-19
FR_MSR_000165,FR_PRD_00293,FAC_FR_020,444765,105,13912249.2,1182541.18,4.22,2024-05-21
FR_MSR_000166,FR_PRD_00311,FAC_FR_003,200365,47,5722424.4,486406.07,1.39,2024-05-24
FR_MSR_000167,FR_PRD_00981,FAC_FR_004,9604,51,3298974.0,9896.92,1.31,2023-04-29
FR_MSR_000168,FR_PRD_00357,FAC_FR_015,7570,97,4178640.0,12535.92,2.6,2024-09-23
FR_MSR_000169,FR_PRD_00609,FAC_FR_008,5470,75,75486.0,5434.99,2.04,2023-09-09
FR_MSR_000170,FR_PRD_00095,FAC_FR_018,9530,109,3602340.0,10807.02,4.26,2023-03-05
FR_MSR_000171,FR_PRD_00941,FAC_FR_011,5022,27,121030.2,8714.17,1.64,2024-01-06
FR_MSR_000172,FR_PRD_00386,FAC_FR_002,8386,83,241516.8,17107.44,3.13,2024-03-25
FR_MSR_000173,FR_PRD_00919,FAC_FR_005,4892,40,119364.8,8594.27,2.96,2023-10-22
FR_MSR_000174,FR_PRD_00476,FAC_FR_020,282406,14,6156450.8,443264.46,4.46,2024-06-17
FR_MSR_000175,FR_PRD_00406,FAC_FR_013,371426,59,6128529.0,441254.09,4.94,2023-12-27
FR_MSR_000176,FR_PRD_00562,FAC_FR_005,8689,60,1491032.4,55913.72,1.61,2023-06-17
FR_MSR_000177,FR_PRD_00707,FAC_FR_014,2174,84,645678.0,1937.03,1.91,2024-06-19
FR_MSR_000178,FR_PRD_00493,FAC_FR_013,8164,135,3404388.0,10213.16,2.12,2023-02-10
FR_MSR_000179,FR_PRD_00212,FAC_FR_011,3229,25,98161.6,8343.74,4.56,2023-02-17
FR_MSR_000180,FR_PRD_00082,FAC_FR_008,433790,144,247260300.0,741780.9,2.25,2024-05-13
FR_MSR_000181,FR_PRD_00600,FAC_FR_019,351374,72,133346433.0,400039.3,1.43,2023-11-23
FR_MSR_000182,FR_PRD_00025,FAC_FR_003,7602,28,634006.8,24303.59,1.12,2024-03-17
FR_MSR_000183,FR_PRD_00680,FAC_FR_020,5534,55,2623116.0,7869.35,4.73,2024-06-26
FR_MSR_000184,FR_PRD_00475,FAC_FR_006,7905,55,3154095.0,9462.28,3.99,2024-07-05
FR_MSR_000185,FR_PRD_00249,FAC_FR_020,4795,48,2409487.5,7228.46,1.31,2024-07-24
FR_MSR_000186,FR_PRD_00853,FAC_FR_018,4059,56,100663.2,8556.37,1.34,2023-10-29
FR_MSR_000187,FR_PRD_00842,FAC_FR_009,7020,92,850824.0,31905.9,2.23,2023-09-28
FR_MSR_000188,FR_PRD_00165,FAC_FR_016,8468,58,1930704.0,5792.11,4.92,2024-09-19
FR_MSR_000189,FR_PRD_00728,FAC_FR_001,132978,150,3563810.4,302923.88,2.15,2024-08-12
FR_MSR_000190,FR_PRD_00852,FAC_FR_005,6312,102,2206044.0,6618.13,1.19,2024-07-26
FR_MSR_000191,FR_PRD_00328,FAC_FR_006,470984,73,60851132.8,2281917.48,4.8,2023-02-03
FR_MSR_000192,FR_PRD_00940,FAC_FR_003,6185,115,216722.4,18421.4,3.79,2024-12-14
FR_MSR_000193,FR_PRD_00047,FAC_FR_015,494648,27,249302592.0,747907.78,3.81,2023-12-13
FR_MSR_000194,FR_PRD_00284,FAC_FR_010,166627,42,88228996.5,264686.99,3.06,2023-08-14
FR_MSR_000195,FR_PRD_00580,FAC_FR_019,4520,121,1884840.0,5654.52,4.45,2024-05-24
FR_MSR_000196,FR_PRD_00662,FAC_FR_003,184342,85,5176323.36,439987.49,2.4,2024-07-20
FR_MSR_000197,FR_PRD_00347,FAC_FR_017,433348,106,202806864.0,608420.59,3.18,2024-12-03
FR_MSR_000198,FR_PRD_00219,FAC_FR_014,7732,148,4128888.0,12386.66,1.2,2024-11-15
FR_MSR_000199,FR_PRD_00547,FAC_FR_003,2742,89,49685.04,3519.36,4.78,2023-08-01
FR_MSR_000200,FR_PRD_00963,FAC_FR_002,408226,79,9674956.2,696596.85,1.3,2023-02-23
FR_MSR_000201,FR_PRD_00921,FAC_FR_020,2523,137,1419187.5,4257.56,4.71,2023-11-25
FR_MSR_000202,FR_PRD_00197,FAC_FR_015,8754,106,198540.72,14063.3,2.36,2023-06-20
FR_MSR_000203,FR_PRD_00991,FAC_FR_018,5870,148,3372315.0,10116.94,4.31,2024-06-11
FR_MSR_000204,FR_PRD_00937,FAC_FR_011,7203,142,661235.4,25347.36,3.14,2023-09-26
FR_MSR_000205,FR_PRD_00101,FAC_FR_004,2350,141,46436.0,3947.06,2.62,2023-04-04
FR_MSR_000206,FR_PRD_00433,FAC_FR_018,5949,58,99943.2,8495.17,3.07,2023-10-05
FR_MSR_000207,FR_PRD_00558,FAC_FR_006,222811,18,26202573.6,982596.51,2.99,2023-04-29
FR_MSR_000208,FR_PRD_00046,FAC_FR_011,3813,74,80835.6,6871.03,4.78,2023-08-26
FR_MSR_000209,FR_PRD_00172,FAC_FR_018,8567,11,145981.68,12408.44,3.7,2023-09-15
FR_MSR_000210,FR_PRD_00191,FAC_FR_019,9023,99,1649404.4,61852.67,3.25,2023-08-02
FR_MSR_000211,FR_PRD_00815,FAC_FR_020,8173,139,2549976.0,7649.93,1.38,2024-03-14
FR_MSR_000212,FR_PRD_00617,FAC_FR_019,452443,144,11075804.64,784536.16,3.74,2023-02-22
FR_MSR_000213,FR_PRD_00320,FAC_FR_019,3622,27,130102.24,11058.69,2.52,2023-11-13
FR_MSR_000214,FR_PRD_00042,FAC_FR_003,2826,107,1123335.0,3370.0,4.49,2023-10-08
FR_MSR_000215,FR_PRD_00388,FAC_FR_009,3259,100,77955.28,6626.2,1.86,2023-07-25
FR_MSR_000216,FR_PRD_00044,FAC_FR_006,7271,94,164033.76,11619.06,1.24,2023-09-07
FR_MSR_000217,FR_PRD_00005,FAC_FR_017,326668,99,83790342.0,251371.03,4.36,2023-10-07
FR_MSR_000218,FR_PRD_00720,FAC_FR_016,364428,17,9154431.36,778126.67,4.71,2024-04-13
FR_MSR_000219,FR_PRD_00027,FAC_FR_001,6277,43,2871727.5,8615.18,2.48,2023-05-02
FR_MSR_000220,FR_PRD_00084,FAC_FR_017,5105,36,2672467.5,8017.4,2.73,2024-10-17
FR_MSR_000221,FR_PRD_00846,FAC_FR_011,4862,146,2056626.0,6169.88,1.81,2023-10-27
FR_MSR_000222,FR_PRD_00149,FAC_FR_013,4508,29,2109744.0,6329.23,2.32,2024-05-18
FR_MSR_000223,FR_PRD_00349,FAC_FR_019,367777,26,185911273.5,557733.82,2.73,2024-09-11
FR_MSR_000224,FR_PRD_00974,FAC_FR_018,7501,12,1197159.6,44893.49,3.15,2024-07-08
FR_MSR_000225,FR_PRD_00995,FAC_FR_020,2305,24,1057995.0,3173.98,3.23,2023-12-24
FR_MSR_000226,FR_PRD_00774,FAC_FR_002,2587,47,752817.0,2258.45,3.34,2023-03-26
FR_MSR_000227,FR_PRD_00719,FAC_FR_013,4345,10,1518577.5,4555.73,3.53,2023-06-11
FR_MSR_000228,FR_PRD_00230,FAC_FR_015,483675,126,13291389.0,941473.39,1.11,2024-04-23
FR_MSR_000229,FR_PRD_00273,FAC_FR_013,6769,94,662008.2,25376.98,4.15,2024-04-02
FR_MSR_000230,FR_PRD_00501,FAC_FR_002,2724,58,1029672.0,3089.02,4.07,2023-10-16
FR_MSR_000231,FR_PRD_00419,FAC_FR_010,275211,45,7904059.92,671845.09,2.67,2024-03-11
FR_MSR_000232,FR_PRD_00651,FAC_FR_012,2489,34,74869.12,6363.88,2.65,2024-11-21
FR_MSR_000233,FR_PRD_00711,FAC_FR_013,163541,132,4003483.68,340296.11,4.64,2023-02-25
FR_MSR_000234,FR_PRD_00380,FAC_FR_016,479890,23,12208401.6,1037714.14,3.99,2024-08-08
FR_MSR_000235,FR_PRD_00210,FAC_FR_014,3460,102,1577760.0,4733.28,2.86,2024-02-15
FR_MSR_000236,FR_PRD_00125,FAC_FR_010,3541,75,60905.2,5176.94,3.11,2024-05-13
FR_MSR_000237,FR_PRD_00336,FAC_FR_010,3655,73,275221.5,10550.16,1.11,2023-08-09
FR_MSR_000238,FR_PRD_00785,FAC_FR_020,8432,71,4527984.0,13583.95,3.63,2024-09-12
FR_MSR_000239,FR_PRD_00145,FAC_FR_014,8639,82,243274.24,20678.31,3.55,2024-01-05
FR_MSR_000240,FR_PRD_00993,FAC_FR_020,170110,22,51798495.0,155395.49,2.09,2024-09-21
FR_MSR_000241,FR_PRD_00776,FAC_FR_018,379176,56,139915944.0,419747.83,4.89,2024-02-08
FR_MSR_000242,FR_PRD_00881,FAC_FR_005,464841,136,62753535.0,2405552.18,4.07,2024-03-23
FR_MSR_000243,FR_PRD_00095,FAC_FR_003,9510,129,3594780.0,10784.34,4.02,2024-07-28
FR_MSR_000244,FR_PRD_00465,FAC_FR_013,464895,62,10181200.5,733046.44,1.66,2023-03-26
FR_MSR_000245,FR_PRD_00961,FAC_FR_002,369358,124,91416105.0,274248.32,1.75,2024-05-05
FR_MSR_000246,FR_PRD_00145,FAC_FR_020,2933,43,82593.28,7020.43,4.95,2024-01-04
FR_MSR_000247,FR_PRD_00093,FAC_FR_012,2813,120,966265.5,2898.8,2.37,2023-05-13
FR_MSR_000248,FR_PRD_00139,FAC_FR_004,496738,82,8494219.8,611583.83,1.77,2023-12-12
