product_id,brand_id,category,collection_cycle,main_material,weight_grams
PRD_0132,HM08,Outerwear,Fast_Track,Lyocell (TENCEL),963
PRD_0133,HM07,Underwear,Seasonal,Lyocell (TENCEL),119
PRD_0134,HM07,Dresses,Seasonal,Cotone Organico,414
PRD_0135,HM06,Underwear,Core_Basics,Lyocell (TENCEL),147
PRD_0136,HM06,Underwear,Seasonal,Cotone Convenzionale,50
PRD_0137,HM01,Denim,Core_Basics,Cotone Organico,777
PRD_0138,HM07,Denim,Core_Basics,Lyocell (TENCEL),710
PRD_0139,HM02,Activewear,Fast_Track,Lyocell (TENCEL),175
PRD_0140,HM01,Activewear,Fast_Track,Poliestere Riciclato,346
PRD_0141,HM07,Knitwear,Fast_Track,Lyocell (TENCEL),480
PRD_0142,HM02,Outerwear,Core_Basics,Cotone Organico,1294
PRD_0143,HM07,Denim,Seasonal,Lyocell (TENCEL),740
PRD_0144,HM05,Outerwear,Seasonal,Elastan,1162
PRD_0145,HM05,Knitwear,Seasonal,Cotone Convenzionale,261
PRD_0146,HM07,Denim,Core_Basics,Cotone Organico,759
PRD_0147,HM04,Dresses,Fast_Track,Poliestere Riciclato,463
PRD_0148,HM03,Underwear,Seasonal,Cotone Organico,57
PRD_0149,HM08,Knitwear,Seasonal,Cotone Organico,418
PRD_0150,HM01,Dresses,Seasonal,Cotone Convenzionale,294
PRD_0151,HM03,Outerwear,Core_Basics,Lana Riciclata,884
PRD_0152,HM05,Underwear,Fast_Track,Lyocell (TENCEL),150
PRD_0153,HM01,Underwear,Core_Basics,Lana Riciclata,139
PRD_0154,HM02,Denim,Fast_Track,Cotone Convenzionale,610
PRD_0155,HM01,Denim,Fast_Track,Poliestere Riciclato,782
PRD_0156,HM07,Underwear,Core_Basics,Poliestere Riciclato,106
PRD_0157,HM04,Outerwear,Fast_Track,Cotone Convenzionale,930
PRD_0158,HM06,Activewear,Core_Basics,Lyocell (TENCEL),161
PRD_0159,HM05,Knitwear,Fast_Track,Cotone Convenzionale,366
PRD_0160,HM06,Dresses,Seasonal,Cotone Convenzionale,331
PRD_0161,HM06,Denim,Core_Basics,Lyocell (TENCEL),822
PRD_0162,HM08,Knitwear,Seasonal,Cotone Organico,431
PRD_0163,HM08,Knitwear,Seasonal,Lyocell (TENCEL),319
PRD_0164,HM05,Outerwear,Seasonal,Elastan,878
PRD_0165,HM05,Knitwear,Core_Basics,Lana Riciclata,384
PRD_0166,HM07,Knitwear,Fast_Track,Cotone Convenzionale,448
PRD_0167,HM06,Outerwear,Core_Basics,Cotone Organico,1144
PRD_0168,HM04,Activewear,Seasonal,Lyocell (TENCEL),305
PRD_0169,HM05,Activewear,Fast_Track,Lyocell (TENCEL),300
PRD_0170,HM05,Underwear,Fast_Track,Poliestere Riciclato,60
PRD_0171,HM06,Denim,Seasonal,Lana Riciclata,758
PRD_0172,HM07,Outerwear,Fast_Track,Poliestere Riciclato,851
PRD_0173,HM03,Activewear,Core_Basics,Lyocell (TENCEL),185
PRD_0174,HM06,Denim,Core_Basics,Poliestere Riciclato,638
PRD_0175,HM07,Knitwear,Core_Basics,Lyocell (TENCEL),299
PRD_0176,HM07,Knitwear,Seasonal,Lyocell (TENCEL),478
PRD_0177,HM05,Dresses,Core_Basics,Cotone Organico,270
PRD_0178,HM02,Dresses,Seasonal,Cotone Organico,372
PRD_0179,HM02,Outerwear,Fast_Track,Lyocell (TENCEL),1133
PRD_0180,HM04,Dresses,Core_Basics,Lyocell (TENCEL),296
PRD_0181,HM04,Denim,Seasonal,Lyocell (TENCEL),874
PRD_0182,HM05,Knitwear,Fast_Track,Elastan,466
PRD_0183,HM07,Outerwear,Fast_Track,Poliestere Riciclato,813
PRD_0184,HM06,Underwear,Fast_Track,Cotone Organico,138
PRD_0185,HM04,Dresses,Seasonal,Cotone Convenzionale,404
PRD_0186,HM05,Knitwear,Seasonal,Cotone Organico,495
PRD_0187,HM02,Denim,Seasonal,Lana Riciclata,741
PRD_0188,HM01,Outerwear,Core_Basics,Lyocell (TENCEL),1297
PRD_0189,HM02,Outerwear,Fast_Track,Cotone Convenzionale,1460
PRD_0190,HM03,Activewear,Seasonal,Cotone Organico,193
PRD_0191,HM01,Denim,Core_Basics,Elastan,625
PRD_0192,HM08,Denim,Core_Basics,Cotone Organico,715
PRD_0193,HM02,Denim,Core_Basics,Lyocell (TENCEL),877
PRD_0194,HM07,Outerwear,Core_Basics,Cotone Organico,1242
PRD_0195,HM02,Knitwear,Fast_Track,Cotone Organico,283
PRD_0196,HM06,Activewear,Fast_Track,Cotone Organico,205
PRD_0197,HM03,Dresses,Fast_Track,Lyocell (TENCEL),282
PRD_0198,HM04,Knitwear,Seasonal,Elastan,266
PRD_0199,HM01,Underwear,Core_Basics,Lyocell (TENCEL),142
PRD_0200,HM06,Denim,Fast_Track,Lana Riciclata,629
PRD_0201,HM01,Knitwear,Seasonal,Lana Riciclata,406
PRD_0202,HM07,Denim,Fast_Track,Poliestere Riciclato,725
PRD_0203,HM06,Underwear,Core_Basics,Cotone Convenzionale,130
PRD_0204,HM05,Dresses,Seasonal,Cotone Organico,497
PRD_0205,HM06,Underwear,Fast_Track,Cotone Organico,111
PRD_0206,HM07,Dresses,Core_Basics,Lyocell (TENCEL),433
PRD_0207,HM05,Dresses,Core_Basics,Cotone Organico,388
PRD_0208,HM05,Underwear,Seasonal,Lana Riciclata,138
PRD_0209,HM02,Outerwear,Core_Basics,Lana Riciclata,1287
PRD_0210,HM06,Knitwear,Seasonal,Cotone Organico,456
PRD_0211,HM03,Outerwear,Fast_Track,Lyocell (TENCEL),1339
PRD_0212,HM05,Knitwear,Seasonal,Lyocell (TENCEL),306
PRD_0213,HM06,Dresses,Seasonal,Cotone Organico,418
PRD_0214,HM01,Underwear,Core_Basics,Cotone Organico,142
PRD_0215,HM05,Activewear,Seasonal,Lana Riciclata,293
PRD_0216,HM04,Underwear,Core_Basics,Poliestere Riciclato,118
PRD_0217,HM03,Activewear,Fast_Track,Cotone Convenzionale,232
PRD_0218,HM06,Outerwear,Seasonal,Lyocell (TENCEL),811
PRD_0219,HM04,Dresses,Seasonal,Lana Riciclata,411
PRD_0220,HM07,Underwear,Seasonal,Cotone Organico,140
PRD_0221,HM06,Activewear,Core_Basics,Cotone Organico,193
PRD_0222,HM06,Denim,Seasonal,Lana Riciclata,743
PRD_0223,HM06,Activewear,Core_Basics,Elastan,281
PRD_0224,HM08,Denim,Core_Basics,Poliestere Riciclato,655
PRD_0225,HM01,Underwear,Fast_Track,Lyocell (TENCEL),117
PRD_0226,HM07,Knitwear,Core_Basics,Lyocell (TENCEL),266
PRD_0227,HM06,Underwear,Core_Basics,Elastan,99
PRD_0228,HM04,Underwear,Core_Basics,Elastan,146
PRD_0229,HM04,Denim,Fast_Track,Cotone Organico,761
PRD_0230,HM08,Outerwear,Seasonal,Elastan,1034
PRD_0231,HM04,Activewear,Seasonal,Cotone Organico,322
PRD_0232,HM01,Activewear,Core_Basics,Lana Riciclata,250
PRD_0233,HM05,Outerwear,Core_Basics,Elastan,1264
PRD_0234,HM06,Outerwear,Seasonal,Cotone Convenzionale,1493
PRD_0235,HM01,Outerwear,Fast_Track,Lyocell (TENCEL),1470
PRD_0236,HM02,Underwear,Core_Basics,Lana Riciclata,58
PRD_0237,HM08,Underwear,Fast_Track,Lyocell (TENCEL),82
PRD_0238,HM07,Activewear,Fast_Track,Lana Riciclata,246
PRD_0239,HM02,Underwear,Fast_Track,Elastan,57
PRD_0240,HM08,Underwear,Fast_Track,Lana Riciclata,78
PRD_0241,HM05,Activewear,Fast_Track,Lana Riciclata,224
PRD_0242,HM07,Knitwear,Core_Basics,Poliestere Riciclato,347
PRD_0243,HM04,Activewear,Seasonal,Lana Riciclata,152
PRD_0244,HM02,Dresses,Seasonal,Cotone Convenzionale,325
PRD_0245,HM06,Outerwear,Core_Basics,Elastan,1145
PRD_0246,HM05,Dresses,Fast_Track,Cotone Convenzionale,416
PRD_0247,HM07,Knitwear,Core_Basics,Cotone Convenzionale,466
PRD_0248,HM02,Denim,Core_Basics,Elastan,752
PRD_0249,HM02,Knitwear,Seasonal,Cotone Organico,441
PRD_0250,HM08,Dresses,Seasonal,Lyocell (TENCEL),299
PRD_0251,HM07,Denim,Core_Basics,Elastan,667
PRD_0252,HM03,Dresses,Fast_Track,Lyocell (TENCEL),347
PRD_0253,HM08,Denim,Seasonal,Lana Riciclata,870
PRD_0254,HM07,Activewear,Core_Basics,Cotone Convenzionale,236
PRD_0255,HM02,Outerwear,Fast_Track,Poliestere Riciclato,996
PRD_0256,HM02,Denim,Core_Basics,Elastan,800
PRD_0257,HM02,Denim,Core_Basics,Cotone Organico,873
PRD_0258,HM05,Denim,Fast_Track,Cotone Convenzionale,837
PRD_0259,HM01,Activewear,Seasonal,Cotone Convenzionale,297
PRD_0260,HM03,Underwear,Fast_Track,Cotone Organico,50
PRD_0261,HM01,Underwear,Seasonal,Poliestere Riciclato,117
PRD_0262,HM05,Outerwear,Fast_Track,Elastan,851
PRD_0263,HM01,Outerwear,Core_Basics,Lyocell (TENCEL),1037
PRD_0264,HM03,Outerwear,Core_Basics,Elastan,1250
PRD_0265,HM08,Activewear,Core_Basics,Cotone Convenzionale,171
PRD_0266,HM08,Outerwear,Core_Basics,Poliestere Riciclato,1464
PRD_0267,HM04,Activewear,Seasonal,Lyocell (TENCEL),295
PRD_0268,HM08,Activewear,Seasonal,Poliestere Riciclato,305
PRD_0269,HM05,Activewear,Seasonal,Lana Riciclata,315
PRD_0270,HM05,Dresses,Seasonal,Lana Riciclata,434
PRD_0271,HM03,Knitwear,Seasonal,Cotone Convenzionale,262
PRD_0272,HM06,Denim,Fast_Track,Poliestere Riciclato,741
PRD_0273,HM01,Activewear,Fast_Track,Elastan,292
PRD_0274,HM03,Outerwear,Core_Basics,Lyocell (TENCEL),988
PRD_0275,HM01,Outerwear,Core_Basics,Lyocell (TENCEL),997
PRD_0276,HM04,Knitwear,Fast_Track,Lana Riciclata,269
PRD_0277,HM08,Underwear,Fast_Track,Elastan,149
PRD_0278,HM08,Outerwear,Core_Basics,Cotone Organico,1417
PRD_0279,HM02,Outerwear,Seasonal,Cotone Convenzionale,990
PRD_0280,HM01,Denim,Core_Basics,Cotone Organico,872
PRD_0281,HM06,Knitwear,Fast_Track,Elastan,280
PRD_0282,HM02,Knitwear,Fast_Track,Cotone Organico,390
PRD_0283,HM04,Underwear,Seasonal,Lana Riciclata,65
PRD_0284,HM05,Denim,Core_Basics,Elastan,645
PRD_0285,HM01,Activewear,Core_Basics,Lana Riciclata,255
PRD_0286,HM06,Denim,Fast_Track,Cotone Convenzionale,898
PRD_0287,HM02,Outerwear,Core_Basics,Cotone Organico,987
PRD_0288,HM06,Knitwear,Core_Basics,Lyocell (TENCEL),392
PRD_0289,HM07,Denim,Fast_Track,Lyocell (TENCEL),671
PRD_0290,HM08,Activewear,Seasonal,Cotone Organico,157
PRD_0291,HM06,Denim,Seasonal,Cotone Organico,684
PRD_0292,HM07,Underwear,Fast_Track,Cotone Organico,141
PRD_0293,HM01,Denim,Core_Basics,Poliestere Riciclato,730
PRD_0294,HM03,Dresses,Fast_Track,Cotone Organico,354
PRD_0295,HM07,Dresses,Seasonal,Cotone Organico,454
PRD_0296,HM08,Dresses,Fast_Track,Cotone Convenzionale,485
PRD_0297,HM02,Dresses,Core_Basics,Cotone Convenzionale,449
PRD_0298,HM08,Dresses,Fast_Track,Lyocell (TENCEL),409
PRD_0299,HM01,Knitwear,Fast_Track,Lyocell (TENCEL),356
PRD_0300,HM01,Denim,Seasonal,Elastan,600
PRD_0301,HM06,Activewear,Core_Basics,Cotone Convenzionale,309
PRD_0302,HM04,Denim,Seasonal,Poliestere Riciclato,796
PRD_0303,HM06,Underwear,Core_Basics,Elastan,110
PRD_0304,HM07,Knitwear,Core_Basics,Lana Riciclata,465
PRD_0305,HM04,Denim,Core_Basics,Cotone Convenzionale,889
PRD_0306,HM07,Dresses,Fast_Track,Lana Riciclata,270
PRD_0307,HM07,Underwear,Core_Basics,Cotone Convenzionale,65
PRD_0308,HM07,Knitwear,Fast_Track,Lyocell (TENCEL),407
PRD_0309,HM07,Activewear,Core_Basics,Poliestere Riciclato,295
PRD_0310,HM01,Outerwear,Fast_Track,Poliestere Riciclato,1072
PRD_0311,HM02,Activewear,Seasonal,Lyocell (TENCEL),171
PRD_0312,HM05,Dresses,Seasonal,Lyocell (TENCEL),407
PRD_0313,HM08,Knitwear,Fast_Track,Cotone Convenzionale,426
PRD_0314,HM02,Outerwear,Seasonal,Elastan,848
PRD_0315,HM02,Dresses,Fast_Track,Cotone Organico,495
PRD_0316,HM06,Dresses,Core_Basics,Cotone Organico,500
PRD_0317,HM05,Knitwear,Fast_Track,Poliestere Riciclato,296
PRD_0318,HM06,Activewear,Fast_Track,Lana Riciclata,182
PRD_0319,HM04,Knitwear,Fast_Track,Lyocell (TENCEL),259
PRD_0320,HM03,Dresses,Seasonal,Poliestere Riciclato,292
PRD_0321,HM04,Activewear,Fast_Track,Cotone Organico,213
PRD_0322,HM02,Activewear,Fast_Track,Lyocell (TENCEL),302
PRD_0323,HM08,Knitwear,Core_Basics,Elastan,493
PRD_0324,HM08,Outerwear,Core_Basics,Lyocell (TENCEL),966
PRD_0325,HM08,Dresses,Fast_Track,Lana Riciclata,424
PRD_0326,HM01,Dresses,Core_Basics,Cotone Organico,268
PRD_0327,HM07,Knitwear,Seasonal,Lyocell (TENCEL),275
PRD_0328,HM04,Denim,Core_Basics,Cotone Convenzionale,670
PRD_0329,HM08,Underwear,Fast_Track,Cotone Convenzionale,100
PRD_0330,HM08,Underwear,Core_Basics,Poliestere Riciclato,127
PRD_0331,HM02,Dresses,Fast_Track,Lyocell (TENCEL),399
PRD_0332,HM03,Dresses,Core_Basics,Cotone Convenzionale,311
PRD_0333,HM02,Underwear,Seasonal,Cotone Convenzionale,67
PRD_0334,HM05,Underwear,Seasonal,Lana Riciclata,147
PRD_0335,HM01,Dresses,Core_Basics,Cotone Organico,348
PRD_0336,HM05,Knitwear,Core_Basics,Cotone Organico,486
PRD_0337,HM05,Outerwear,Fast_Track,Elastan,1197
PRD_0338,HM01,Denim,Core_Basics,Cotone Organico,801
PRD_0339,HM02,Denim,Fast_Track,Lyocell (TENCEL),661
PRD_0340,HM07,Dresses,Fast_Track,Cotone Convenzionale,309
PRD_0341,HM02,Denim,Core_Basics,Cotone Organico,849
PRD_0342,HM06,Underwear,Seasonal,Lyocell (TENCEL),113
PRD_0343,HM08,Knitwear,Fast_Track,Lyocell (TENCEL),311
PRD_0344,HM04,Outerwear,Core_Basics,Elastan,1098
PRD_0345,HM05,Underwear,Fast_Track,Lana Riciclata,76
PRD_0346,HM04,Denim,Fast_Track,Lana Riciclata,876
PRD_0347,HM04,Underwear,Seasonal,Elastan,63
PRD_0348,HM01,Dresses,Seasonal,Elastan,376
PRD_0349,HM07,Underwear,Fast_Track,Poliestere Riciclato,149
PRD_0350,HM04,Denim,Core_Basics,Lana Riciclata,777
PRD_0351,HM04,Denim,Core_Basics,Elastan,711
PRD_0352,HM05,Outerwear,Seasonal,Elastan,1061
PRD_0353,HM06,Underwear,Core_Basics,Lana Riciclata,137
PRD_0354,HM06,Outerwear,Core_Basics,Cotone Organico,1484
PRD_0355,HM06,Activewear,Seasonal,Poliestere Riciclato,164
PRD_0356,HM04,Knitwear,Seasonal,Elastan,284
PRD_0357,HM02,Outerwear,Fast_Track,Cotone Convenzionale,886
PRD_0358,HM05,Dresses,Core_Basics,Elastan,410
PRD_0359,HM01,Dresses,Seasonal,Poliestere Riciclato,295
PRD_0360,HM05,Dresses,Seasonal,Poliestere Riciclato,271
PRD_0361,HM07,Underwear,Fast_Track,Poliestere Riciclato,146
PRD_0362,HM02,Underwear,Core_Basics,Elastan,65
PRD_0363,HM03,Outerwear,Fast_Track,Cotone Convenzionale,1161
PRD_0364,HM04,Denim,Seasonal,Cotone Organico,607
PRD_0365,HM04,Knitwear,Core_Basics,Cotone Organico,303
PRD_0366,HM08,Knitwear,Seasonal,Poliestere Riciclato,331
PRD_0367,HM06,Knitwear,Seasonal,Poliestere Riciclato,297
PRD_0368,HM04,Outerwear,Core_Basics,Cotone Organico,1309
PRD_0369,HM05,Knitwear,Seasonal,Elastan,481
PRD_0370,HM02,Activewear,Seasonal,Poliestere Riciclato,239
PRD_0371,HM05,Knitwear,Core_Basics,Lana Riciclata,286
PRD_0372,HM06,Knitwear,Seasonal,Lana Riciclata,483
PRD_0373,HM03,Activewear,Fast_Track,Lana Riciclata,197
PRD_0374,HM01,Knitwear,Core_Basics,Cotone Organico,490
PRD_0375,HM07,Denim,Fast_Track,Elastan,721
PRD_0376,HM05,Knitwear,Fast_Track,Cotone Convenzionale,323
PRD_0377,HM08,Knitwear,Seasonal,Lyocell (TENCEL),486
PRD_0378,HM07,Denim,Seasonal,Cotone Organico,856
PRD_0379,HM07,Underwear,Seasonal,Poliestere Riciclato,103
PRD_0380,HM05,Outerwear,Fast_Track,Cotone Organico,1260
PRD_0381,HM06,Activewear,Seasonal,Cotone Convenzionale,274
PRD_0382,HM05,Knitwear,Fast_Track,Lyocell (TENCEL),307
PRD_0383,HM03,Knitwear,Core_Basics,Poliestere Riciclato,412
PRD_0384,HM01,Outerwear,Fast_Track,Lana Riciclata,1099
PRD_0385,HM05,Dresses,Fast_Track,Lyocell (TENCEL),311
PRD_0386,HM02,Knitwear,Fast_Track,Cotone Organico,395
PRD_0387,HM02,Outerwear,Seasonal,Cotone Convenzionale,1164
PRD_0388,HM02,Activewear,Seasonal,Cotone Organico,226
PRD_0389,HM07,Underwear,Seasonal,Lana Riciclata,111
PRD_0390,HM05,Denim,Fast_Track,Poliestere Riciclato,797
PRD_0391,HM01,Knitwear,Core_Basics,Elastan,462
PRD_0392,HM01,Activewear,Core_Basics,Elastan,220
PRD_0393,HM04,Activewear,Fast_Track,Elastan,152
PRD_0394,HM08,Activewear,Fast_Track,Lana Riciclata,211
PRD_0395,HM02,Dresses,Fast_Track,Lana Riciclata,324
PRD_0396,HM03,Activewear,Seasonal,Poliestere Riciclato,256
PRD_0397,HM01,Knitwear,Core_Basics,Lyocell (TENCEL),381
PRD_0398,HM05,Knitwear,Seasonal,Poliestere Riciclato,288
PRD_0399,HM04,Dresses,Seasonal,Cotone Convenzionale,300
PRD_0400,HM02,Knitwear,Fast_Track,Poliestere Riciclato,485
PRD_0401,HM01,Knitwear,Fast_Track,Poliestere Riciclato,376
PRD_0402,HM07,Underwear,Fast_Track,Elastan,113
PRD_0403,HM03,Dresses,Seasonal,Cotone Organico,370
PRD_0404,HM06,Activewear,Core_Basics,Cotone Convenzionale,180
PRD_0405,HM04,Outerwear,Fast_Track,Cotone Convenzionale,1456
